2022 Election SCHOOL TRUSTEE Results by Location (Vote for  9)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voting Place ID # - Voting Place,Times Cast,Undervotes,Overvotes,"300 RICHARDSON, Christopher JK
(ABC Vancouver) ",,"301 FEDORA, Aaron
(NPA) ",,,"302 CHAN-PEDLEY, Lois
(GREEN) ",,"303 THOMSON, Hilary
(Vision Vancouver) ",,,"304 MAH, Suzie
(COPE) ",,"305 TENGCO, Amanda
 ",,"306 LEUNG, Aaron
(Vision Vancouver) ",,"307 ZEIDLER, Karina
(VOTE Socialist) ",,"308 HOPKINS, Heming
 ",,"309 LITZCKE, Karin
 ",,"310 TRIGUEROS, Rocco
(COPE) ",,"311 AGGARWAL, Rahul
(NPA) ",,"312 MCARTHUR, Kera
(Vision Vancouver) ",,"313 CHIEN, Alfred
(ABC Vancouver) ",,"314 FARIDKOT, Preeti
(ABC Vancouver) ",,"315 FRASER, Janet
(GREEN) ",,"316 JUNG, Victoria
(ABC Vancouver) ",,"317 SIGURDSON, Krista
(OneCity) ",,"318 EPSTEIN, Kyla
(OneCity) ",,"319 VAUGHAN, Ashley
(NPA) ",,"320 REDDY, Jennifer
(OneCity) ",,"321 GOODINE, Nadine C
(NPA) ",,"322 SOMERS, Gavin
(OneCity) ",,"323 BROWN, Rory
(OneCity) ",,"324 LEVINE, Zelda
 ",,"325 KLJAJIC, Milan
(NPA) ",,"326 CARDWELL, Steve
(Vision Vancouver) ",,"327 POPPELL, Nick
(GREEN) ",,"328 ZHANG, Josh
(ABC Vancouver) ",,"329 WONG, Allan
(Vision Vancouver) ",,"330 ALAM, Matiul
(TEAM) ",,Total Votes
53 - Sir William Van Horne Elementary School,"1,030","3,267",2,500,,133,,,211,,119,,,225,,61,,170,,79,,37,,66,,124,,157,,102,,537,,486,,223,,537,,155,,130,,109,,169,,113,,119,,133,,68,,110,,140,,123,,504,,266,,79,,"5,985"
54 - Jewish Community Centre of Greater Vancouver,770,"2,464",1,389,,95,,,150,,94,,,144,,47,,116,,42,,35,,55,,74,,117,,70,,414,,371,,134,,433,,89,,99,,99,,109,,93,,71,,97,,55,,99,,97,,94,,418,,179,,78,,"4,457"
55 - John Norquay Elementary School,"1,596","4,609",4,667,,171,,,339,,291,,,473,,118,,379,,155,,95,,102,,248,,231,,235,,711,,635,,315,,709,,304,,285,,158,,369,,130,,250,,304,,103,,151,,281,,200,,693,,476,,141,,"9,719"
56 - Renfrew Park Community Centre,"1,400","4,282",2,561,,137,,,315,,216,,,402,,100,,303,,139,,56,,79,,205,,196,,172,,646,,559,,270,,648,,258,,239,,135,,303,,118,,216,,268,,88,,140,,200,,213,,620,,376,,122,,"8,300"
57 - Collingwood Neighbourhood House,"2,277","5,910",6,899,,320,,,482,,522,,,640,,254,,585,,280,,157,,159,,419,,336,,401,,913,,749,,525,,949,,450,,427,,284,,574,,254,,400,,478,,183,,224,,474,,355,,869,,701,,266,,"14,529"
58 - Windermere Community Secondary School,692,"2,226",5,279,,93,,,125,,97,,,192,,51,,148,,40,,38,,47,,90,,89,,75,,318,,283,,115,,324,,110,,101,,84,,119,,58,,83,,109,,52,,71,,113,,80,,309,,199,,65,,"3,957"
59 - Renfrew Community Elementary School,700,"2,155",2,310,,87,,,137,,91,,,196,,60,,136,,48,,47,,56,,89,,96,,88,,359,,303,,119,,350,,82,,92,,89,,124,,61,,81,,93,,49,,85,,112,,68,,344,,214,,61,,"4,127"
60 - Sir Charles Tupper Secondary School,"1,447","4,104",0,505,,112,,,413,,299,,,402,,91,,291,,163,,62,,61,,271,,154,,233,,497,,485,,386,,513,,413,,406,,131,,467,,119,,363,,379,,58,,107,,299,,286,,468,,342,,143,,"8,919"
61 - General Brock Elementary School,"1,024","2,958",0,323,,100,,,315,,217,,,272,,58,,215,,118,,38,,53,,198,,87,,191,,330,,325,,329,,345,,280,,262,,102,,316,,107,,217,,252,,44,,74,,239,,215,,307,,221,,108,,"6,258"
62 - Hillcrest Centre,"1,216","3,651",0,433,,84,,,326,,224,,,321,,66,,235,,115,,37,,61,,197,,121,,181,,462,,441,,292,,464,,344,,338,,112,,364,,90,,268,,308,,66,,78,,239,,215,,419,,276,,116,,"7,293"
